GasPrice	ElePrice	VehPrice	mpg	mpg_unknown	mpg_known	range	size	curveh_model_year	curveh_age	curveh_price	curveh_mpg	curveh_mpg_known	curveh_mpg_unknown	curveh_range	curveh_size	Vehicles
3.5	4.5	1.7	0.36	0	0.36	0.7	1	2009	5	1.7	0.36	0.36	0	0	1	2
3	4.75	2.8	0.3	0	0.3	0.9	1	2004	10	2.8	0.3	0.3	0	0	1	3
3.75	4.25	1	0	0	0	0.85	1	2010	4	1	0	0	0	0	1	2
4.25	4.5	2.2	0.38	0	0.38	0.75	2	2013	1	2.2	0.38	0.38	0	0	2	3
4.25	5	2.5	0.32	0	0.32	0.6	2	2014	0	2.5	0.32	0.32	0	0	2	3
3.25	5.25	1.5	0.38	0	0.38	1	1	2012	2	1.5	0.38	0.38	0	0	1	2
4.25	4	2.8	0.3	0	0.3	1	1	2012	2	2.8	0.3	0.3	0	0	1	3
3.75	5.25	2.4	0	0	0	0.9	2	2005	9	2.4	0	0	0	0	2	3
3	4.5	2.3	0.24	0	0.24	0.7	2	2007	7	2.3	0.24	0.24	0	0	2	3
4.25	4.5	1.1	0	0	0	1.1	1	2008	6	1.1	0	0	0	0	1	2
3.25	4.25	2.2	0.35	0	0.35	0.6	3	2013	1	2.2	0.35	0.35	0	0	3	3
3.75	5	2.35	0.38	0	0.38	0.75	3	2014	0	2.35	0.38	0.38	0	0	3	2
4	5	1.8	0	0	0	1.1	1	2006	8	1.8	0	0	0	0	1	2
4.25	4.75	0	0	0	0	0.6	2	1997	17	0	0	0	0	0	2	3
3.75	4.75	0	0.23	0	0.23	0.75	3	2010	4	0	0.23	0.23	0	0	3	2
3	5.25	1.5	0	0	0	1	2	2010	4	1.5	0	0	0	0	2	3
4.12	5.88	2	0.51	0.51	0	0.9	1	2017	3	2	0.51	0	0.51	0	1	3
3	5	0	0	0	0	0.6	2	2001	13	0	0	0	0	0	2	4
3.25	4	3.5	0.13	0	0.13	0.6	3	2003	11	3.5	0.13	0.13	0	0	3	2
3	4.75	0	0	0	0	0.85	1	2006	8	0	0	0	0	0	1	2
3	5	0.5	0	0	0	0.9	2	2002	12	0.5	0	0	0	0	2	2
4.25	4.5	2	0	0	0	1.1	1	2001	13	2	0	0	0	0	1	3
3.75	4	1.5	0	0	0	1	2	2009	5	1.5	0	0	0	0	2	4
3.25	5	1.4	0.3	0	0.3	0.9	1	1997	17	1.4	0.3	0.3	0	0	1	3
4.25	4	3.6	0	0	0	0.6	2	2013	1	3.6	0	0	0	0	2	3
3.25	4	1.8	0.2	0	0.2	0.75	2	2004	10	1.8	0.2	0.2	0	0	2	2
3	5.25	2.4	0.47	0	0.47	0.9	2	2008	6	2.4	0.47	0.47	0	0	2	2
4	4.75	1.5	0.26	0	0.26	0.6	1	2010	4	1.5	0.26	0.26	0	0	1	3
3	5.25	1.6	0	0	0	0.9	1	2014	0	1.6	0	0	0	0	1	2
3	4.75	2.4	0.26	0	0.26	0.9	2	2012	2	2.4	0.26	0.26	0	0	2	2
